index,forecast
1983-05-26,3.8716666133459756
1983-05-27,3.851763094620253
1983-05-30,3.8771020362744957
1983-05-31,3.602457667968377
1983-06-01,3.4249656406382454
1983-06-02,3.3503925695164325
1983-06-03,3.281960085500503
1983-06-06,3.2641617101555642
1983-06-07,2.7662272603310156
1983-06-08,2.5366105254243134
1983-06-09,2.396864495441344
1983-06-10,2.3253952795790296
1983-06-13,2.219457387324278
1983-06-14,2.306648265097976
1983-06-15,2.3453129808774578
1983-06-16,2.6042927720846634
1983-06-17,2.9057726864211326
1983-06-20,3.074735313503799
1983-06-21,3.294252029390719
1983-06-22,3.4316727264677556
1983-06-23,3.641799393531922
1983-06-24,3.708688122843983
1983-06-27,3.5400855658768955
1983-06-28,3.209135900931028
1983-06-29,3.1319479840377547
